City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
422,Svetlaya,RU,46.5389,138.3297,-3.32,81,3,9.57,clear sky
423,Sutysky,UA,49.0425,28.4173,26.58,95,19,7.49,few clouds
424,Punto Fijo,VE,11.6956,-70.1996,82.38,64,51,6.62,broken clouds
425,Beloha,MG,-25.1667,45.05,73.04,85,6,11.45,clear sky
426,Acari,PE,-15.4311,-74.6158,79.56,56,87,11.63,overcast clouds
427,Svetlogorsk,BY,52.6333,29.7333,22.23,95,96,10.49,overcast clouds
428,Russell,US,32.3502,-85.1999,43.05,21,0,13.8,clear sky
429,Port Moresby,PG,-9.4431,147.1797,76.42,88,100,5.75,moderate rain
430,Inuvik,CA,68.3499,-133.7218,-11.99,76,20,2.3,few clouds
431,Yangambi,CD,0.8102,24.4336,73.53,39,5,1.72,clear sky
432,George,ZA,-33.963,22.4617,64.53,84,2,8.23,clear sky
433,Lagoa,PT,39.05,-27.9833,58.05,75,71,12.08,broken clouds
434,Garner,US,35.7113,-78.6142,35.35,44,54,5.99,broken clouds
435,Sakakah,SA,29.9697,40.2064,51.37,44,0,10.4,clear sky
436,Huangmei,CN,30.1924,116.025,35.4,96,96,1.95,overcast clouds
437,Chimbote,PE,-9.0853,-78.5783,74.59,71,100,11.48,overcast clouds
438,Jibuti,DJ,11.5,42.5,72.82,70,5,13.15,clear sky
439,Atambua,ID,-9.1061,124.8925,73.99,91,100,4.85,light rain
440,Kawalu,ID,-7.3817,108.2082,72.99,96,99,1.32,overcast clouds
441,Bol,TD,13.4586,14.7147,69.58,31,0,18.88,clear sky
442,Guadalupe Victoria,MX,32.2869,-115.105,68.95,11,73,10.47,broken clouds
443,Hofn,IS,64.2539,-15.2082,24.82,58,0,5.75,clear sky
444,Yarada,IN,17.65,83.2667,64.72,88,20,2.3,mist
445,Copiapo,CL,-27.3667,-70.3333,67.69,37,0,11.72,clear sky
446,Uhlove,UA,44.8215,33.6045,38.43,69,100,12.1,overcast clouds
447,Palmer,US,42.1584,-72.3287,17.26,79,100,7.0,snow
448,Skibotn,NO,69.3913,20.2679,20.46,89,96,8.25,overcast clouds
449,Anito,PH,12.4497,125.2886,75.83,93,61,4.83,broken clouds
450,Iquique,CL,-20.2208,-70.1431,73.44,73,42,3.24,scattered clouds
451,Ruidoso,US,33.3317,-105.673,55.06,17,0,9.22,clear sky
452,Namibe,AO,-15.1961,12.1522,72.39,77,100,6.76,overcast clouds
453,Bambey,SN,14.6955,-16.4493,89.65,45,74,15.52,broken clouds
454,Abha,SA,18.2164,42.5053,53.42,82,0,0.0,clear sky
455,Sayyan,YE,15.1718,44.3244,53.38,47,5,1.5,clear sky
456,La Sarre,CA,48.8002,-79.1996,9.73,82,91,4.97,overcast clouds
457,Plouzane,FR,48.3833,-4.6167,48.38,87,100,5.75,overcast clouds
458,Zhigansk,RU,66.7697,123.3711,-28.86,100,100,2.48,overcast clouds
459,Nishihara,JP,26.1842,127.7558,61.88,94,100,9.22,overcast clouds
460,Malanje,AO,-9.5402,16.341,65.41,92,100,4.0,overcast clouds
